,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
72,"                                15,684,000                            ",                                11.13%                            ,                                SHENJI GROUP KUNMING MACHINE TOOL COMPANY LIMITED                            ,                                  300                            
73,"                                488,700                            ",                                0.18%                            ,                                VTECH HOLDINGS LIMITED                            ,                                  303                            
74,"                                151,594,200                            ",                                2.77%                            ,                                CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED                            ,                                  308                            
75,"                                3,252,534                            ",                                0.29%                            ,                                SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED                            ,                                  315                            
76,"                                8,418,000                            ",                                1.34%                            ,                                ORIENT OVERSEAS (INTERNATIONAL) LIMITED                            ,                                  316                            
77,"                                13,548,200                            ",                                2.27%                            ,                                CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED                            ,                                  317                            
78,"                                1,390,000                            ",                                0.10%                            ,                                TEXWINCA HOLDINGS LIMITED                            ,                                  321                            
79,"                                5,368,000                            ",                                0.08%                            ,                                TINGYI (CAYMAN ISLANDS) HOLDING CORP.                            ,                                  322                            
80,"                                84,068,000                            ",                                4.84%                            ,                                MAANSHAN IRON & STEEL COMPANY LIMITED                            ,                                  323                            
81,"                                17,476,000                            ",                                1.58%                            ,                                PAX GLOBAL TECHNOLOGY LIMITED                            ,                                  327                            
82,"                                71,214,100                            ",                                3.72%                            ,                                ESPRIT HOLDINGS LIMITED                            ,                                  330                            
83,"                                189,987,100                            ",                                6.10%                            ,                                HUABAO INTERNATIONAL HOLDINGS LIMITED                            ,                                  336                            
84,"                                83,864,000                            ",                                3.00%                            ,                                GREENLAND HONG KONG HOLDINGS LIMITED                            ,                                  337                            
85,"                                93,057,744                            ",                                2.65%                            ,                                SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED                            ,                                  338                            
86,"                                72,000                            ",                                0.00%                            ,                                CAFE DE CORAL HOLDINGS LTD                            ,                                  341                            
87,"                                3,880,000                            ",                                0.36%                            ,                                VITASOY INTERNATIONAL HOLDINGS LTD                            ,                                  345                            
88,"                                7,538,076                            ",                                0.69%                            ,                                ANGANG STEEL COMPANY LIMITED                            ,                                  347                            
