,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
452,"                                27,753,500                            ",                                3.33%                            ,"                                QINHUANGDAO PORT CO., LTD.                            ",                                 3369                            
453,"                                107,166,000                            ",                                1.41%                            ,                                SINO-OCEAN GROUP HOLDING LIMITED                            ,                                 3377                            
454,"                                152,010,000                            ",                                2.75%                            ,                                LOGAN PROPERTY HOLDINGS COMPANY LIMITED                            ,                                 3380                            
455,"                                59,732,000                            ",                                0.96%                            ,                                TIANJIN PORT DEVELOPMENT HOLDINGS LIMITED                            ,                                 3382                            
456,"                                75,116,000                            ",                                1.91%                            ,                                AGILE GROUP HOLDINGS LIMITED                            ,                                 3383                            
457,"                                964,000                            ",                                0.02%                            ,                                HENGDELI HOLDINGS LIMITED                            ,                                 3389                            
458,"                                2,344,000                            ",                                0.23%                            ,                                WASION GROUP HOLDINGS LIMITED                            ,                                 3393                            
459,"                                39,585,600                            ",                                10.09%                            ,                                LEGEND HOLDINGS CORPORATION                            ,                                 3396                            
460,"                                17,356,045                            ",                                3.42%                            ,"                                FUYAO GLASS INDUSTRY GROUP CO., LTD                            ",                                 3606                            
461,"                                228,273,000                            ",                                9.07%                            ,"                                CHONGQING RURAL COMMERCIAL BANK CO., LTD.                            ",                                 3618                            
462,"                                10,038,000                            ",                                0.31%                            ,                                HUISHANG BANK CORPORATION LIMITED                            ,                                 3698                            
463,"                                18,846,000                            ",                                1.02%                            ,                                CHINA HANKING HOLDINGS LIMITED                            ,                                 3788                            
464,"                                347,747,000                            ",                                2.53%                            ,                                DALI FOODS GROUP COMPANY LIMITED                            ,                                 3799                            
465,"                                1,199,042,100                            ",                                6.44%                            ,                                GCL-POLY ENERGY HOLDINGS LIMITED                            ,                                 3800                            
466,"                                49,374,061                            ",                                1.77%                            ,                                SINOTRUK (HONG KONG) LIMITED                            ,                                 3808                            
467,"                                19,823,000                            ",                                0.37%                            ,                                POU SHENG INTERNATIONAL (HOLDINGS) LIMITED                            ,                                 3813                            
468,"                                66,689,000                            ",                                1.17%                            ,"                                CHINA DONGXIANG (GROUP) CO., LTD.                            ",                                 3818                            
469,"                                2,423,774,000                            ",                                30.29%                            ,                                TECH PRO TECHNOLOGY DEVELOPMENT LIMITED                            ,                                 3823                            
470,"                                43,468,500                            ",                                2.82%                            ,                                CHINA HARMONY NEW ENERGY AUTO HOLDING LIMITED                            ,                                 3836                            
471,"                                209,724,000                            ",                                7.83%                            ,                                CHINA AOYUAN PROPERTY GROUP LIMTIED                            ,                                 3883                            
472,"                                142,380,000                            ",                                1.88%                            ,                                TOWN HEALTH INTERNATIONAL MEDICAL GROUP LIMITED                            ,                                 3886                            
473,"                                69,746,156                            ",                                5.31%                            ,                                KINGSOFT CORPORATION LIMITED                            ,                                 3888                            
474,"                                51,339,983                            ",                                9.37%                            ,"                                ZHUZHOU CRRC TIMES ELECTRIC CO., LTD.                            ",                                 3898                            
475,"                                108,068,000                            ",                                5.56%                            ,                                CIMC ENRIC HOLDINGS LIMITED                            ,                                 3899                            
476,"                                257,780,000                            ",                                11.90%                            ,                                GREENTOWN CHINA HOLDINGS LIMITED                            ,                                 3900                            
477,"                                133,869,780                            ",                                8.80%                            ,                                CHINA INTERNATIONAL CAPITAL CORPORATION LIMITED                            ,                                 3908                            
478,"                                62,440,000                            ",                                3.83%                            ,"                                UNITED LABORATORIES INTERNATIONAL HOLDINGS LIMITED, THE                            ",                                 3933                            
479,"                                224,528,040                            ",                                21.85%                            ,                                DFZQ                            ,                                 3958                            
480,"                                537,602,279                            ",                                11.70%                            ,"                                CHINA MERCHANTS BANK CO., LTD.                            ",                                 3968                            
481,"                                82,169,479                            ",                                4.16%                            ,                                CHINA RAILWAY SIGNAL & COMMUNICATION CORPORATION LIMITED                            ,                                 3969                            
482,"                                3,758,924,475                            ",                                4.49%                            ,                                BANK OF CHINA LIMITED                            ,                                 3988                            
483,"                                748,862,300                            ",                                19.03%                            ,"                                CHINA MOLYBDENUM CO., LTD.                            ",                                 3993                            
484,"                                16,290,000                            ",                                0.17%                            ,                                CHINA ENERGY ENGINEERING CORPORATION LIMITED                            ,                                 3996                            
485,"                                463,832,000                            ",                                4.33%                            ,                                BOSIDENG INTERNATIONAL HOLDINGS LIMITED                            ,                                 3998                            
486,"                                50,061,924                            ",                                2.18%                            ,                                CITIC SECURITIES COMPANY LIMITED                            ,                                 6030                            
487,"                                64,002,500                            ",                                5.07%                            ,"                                CSC FINANCIAL CO., LTD.                            ",                                 6066                            
488,"                                83,952,800                            ",                                8.55%                            ,"                                CHINA MERCHANTS SECURITIES CO., LTD.                            ",                                 6099                            
489,"                                750,600                            ",                                0.34%                            ,"                                SHANGHAI LA CHAPELLE FASHION CO., LTD.                            ",                                 6116                            
490,"                                112,120,000                            ",                                3.73%                            ,                                CHINA YUHUA EDUCATION CORPORATION LIMITED                            ,                                 6169                            
491,"                                21,463,000                            ",                                3.04%                            ,                                EVERBRIGHT SECURITIES COMPANY LIMITED                            ,                                 6178                            
492,"                                39,320,809                            ",                                0.41%                            ,                                SUN ART RETAIL GROUP LIMITED                            ,                                 6808                            
493,"                                953,149,000                            ",                                13.87%                            ,                                CHINA EVERBRIGHT BANK COMPANY LIMITED                            ,                                 6818                            
494,"                                6,808,000                            ",                                0.06%                            ,                                BEIJING GAS BLUE SKY HOLDINGS LIMITED                            ,                                 6828                            
495,"                                77,451,561                            ",                                2.26%                            ,"                                HAITONG SECURITIES CO., LTD.                            ",                                 6837                            
496,"                                1,092,671,000                            ",                                8.10%                            ,                                CHINA HUISHAN DAIRY HOLDINGS COMPANY LIMITED                            ,                                 6863                            
497,"                                10,475,500                            ",                                2.97%                            ,                                YANGTZE OPTICAL FIBRE AND CABLE JOINT STOCK LIMITED COMPANY                            ,                                 6869                            
498,"                                249,536,997                            ",                                6.75%                            ,"                                CHINA GALAXY SECURITIES CO., LTD.                            ",                                 6881                            
499,"                                108,590,156                            ",                                6.31%                            ,"                                HUATAI SECURITIES CO., LTD.                            ",                                 6886                            
500,"                                175,000                            ",                                0.03%                            ,                                XINYI AUTOMOBILE GLASS HONG KONG ENTERPRISES LIMITED                            ,                                 8328                            
