,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
588,"                                42,921,466                            ",                                0.68%                            ,"                                CHINA PACIFIC INSURANCE (GROUP) CO., LTD. (A #601601)                            ",                                91601                            
589,"                                9,492,839                            ",                                0.49%                            ,"                                SHANGHAI PHARMACEUTICALS HOLDING CO., LTD. (A #601607)                            ",                                91607                            
590,"                                5,448,709                            ",                                0.12%                            ,"                                CITIC HEAVY INDUSTRIES CO.,LTD. (A #601608)                            ",                                91608                            
591,"                                692,205                            ",                                0.07%                            ,                                CHINA NUCLEAR ENGINEERING CORPORATION LIMITED (A #601611)                            ,                                91611                            
592,"                                15,240,699                            ",                                0.09%                            ,                                METALLURGICAL CORPORATION OF CHINA LTD. (A #601618)                            ,                                91618                            
593,"                                27,689,105                            ",                                0.13%                            ,                                CHINA LIFE INSURANCE COMPANY LIMITED (A #601628)                            ,                                91628                            
594,"                                21,201,638                            ",                                0.35%                            ,                                GREAT WALL MOTOR COMPANY LIMITED (A #601633)                            ,                                91633                            
595,"                                34,078,075                            ",                                1.37%                            ,"                                ZHUZHOU KIBING GROUP CO., LTD (A #601636)                            ",                                91636                            
596,"                                14,071,977                            ",                                0.59%                            ,"                                PINGDINGSHAN TIANAN COAL MINING CO., LTD. (A #601666)                            ",                                91666                            
597,"                                160,653,369                            ",                                0.54%                            ,                                CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED (A #601668)                            ,                                91668                            
598,"                                17,926,027                            ",                                0.18%                            ,"                                POWER CONSTRUCTION CORPORATION OF CHINA,LTD.(POWERCHINA LTD.) (A #601669)                            ",                                91669                            
599,"                                1,876,732                            ",                                0.15%                            ,"                                BEFAR GROUP CO.,LTD (A #601678)                            ",                                91678                            
600,"                                43,759,803                            ",                                0.80%                            ,"                                HUATAI SECURITIES CO.,LTD (A #601688)                            ",                                91688                            
601,"                                2,433,972                            ",                                1.42%                            ,"                                NINGBO TUOPU GROUP CO.,LTD. (A #601689)                            ",                                91689                            
602,"                                18,043,940                            ",                                0.60%                            ,"                                SHANXI LU'AN ENVIRONMENTAL ENERGY DEVELOPMENT CO.,LTD. (A #601699)                            ",                                91699                            
603,"                                1,240,853                            ",                                0.10%                            ,"                                CHANGSHU FENGFAN POWER EQUIPMENT CO.,LTD (A #601700)                            ",                                91700                            
604,"                                6,572,205                            ",                                0.47%                            ,"                                ZHENGZHOU COAL MINING MACHINERY GROUP CO.,LTD (A #601717)                            ",                                91717                            
605,"                                3,978,802                            ",                                0.10%                            ,                                JIHUA GROUP CORPORATION LIMITED (A #601718)                            ,                                91718                            
606,"                                7,918,539                            ",                                0.08%                            ,                                SHANGHAI ELECTRIC GROUP COMPANY LIMITED (A #601727)                            ,                                91727                            
607,"                                74,840,064                            ",                                0.32%                            ,                                CRRC CORPORATION LIMITED (A #601766)                            ,                                91766                            
608,"                                2,476,476                            ",                                0.20%                            ,"                                LIFAN INDUSTRY (GROUP) CO., LTD (A #601777)                            ",                                91777                            
609,"                                8,836,498                            ",                                0.22%                            ,                                EVERBRIGHT SECURITIES COMPANY LIMITED (A #601788)                            ,                                91788                            
610,"                                232,015                            ",                                0.02%                            ,"                                NINGBO CONSTRUCTION CO., LTD (A #601789)                            ",                                91789                            
611,"                                25,342                            ",                                0.00%                            ,                                LANPEC TECHNOLOGIES LIMITED (A #601798)                            ,                                91798                            
612,"                                794,966                            ",                                0.33%                            ,"                                CHANGZHOU XINGYU AUTOMOTIVE LIGHTING SYSTEMS CO., LTD (A #601799)                            ",                                91799                            
613,"                                22,623,374                            ",                                0.19%                            ,"                                CHINA COMMUNICATIONS CONSTRUCTION CO.,LTD (A #601800)                            ",                                91800                            
614,"                                799,716                            ",                                0.04%                            ,"                                ANHUI XINHUA MEDIA CO., LTD (A #601801)                            ",                                91801                            
615,"                                1,201,612                            ",                                0.04%                            ,                                CHINA OILFIELD SERVICES LIMITED (A #601808)                            ,                                91808                            
616,"                                7,839                            ",                                0.00%                            ,"                                XINHUA WINSHARE PUBLISHING AND MEDIA CO., LTD. (A # 601811)                            ",                                91811                            
617,"                                134,392,064                            ",                                0.33%                            ,                                CHINA EVERBRIGHT BANK COMPANY LIMITED (A #601818)                            ,                                91818                            
618,"                                40,351,884                            ",                                0.02%                            ,                                PETROCHINA COMPANY LIMITED (A #601857)                            ,                                91857                            
619,"                                6,317,979                            ",                                0.07%                            ,"                                COSCO SHIPPING DEVELOPMENT CO., LTD. (A #601866)                            ",                                91866                            
620,"                                2,554,139                            ",                                0.05%                            ,"                                CHINA MERCHANTS ENERGY SHIPPING CO., LTD. (A #601872)                            ",                                91872                            
621,"                                2,408,726                            ",                                0.18%                            ,"                                ZHEJIANG CHINT ELECTRICS CO.,LTD (A #601877)                            ",                                91877                            
622,"                                1,973,748                            ",                                0.02%                            ,                                DALIAN PORT (PDA) COMPANY LIMITED (A #601880)                            ,                                91880                            
623,"                                2,661,241                            ",                                0.44%                            ,"                                CHINA GALAXY SECURITIES CO., LTD. (A #601881)                            ",                                91881                            
624,"                                1,141,496                            ",                                0.09%                            ,"                                JANGHO GROUP CO., LTD. (A #601886)                            ",                                91886                            
625,"                                100,073,623                            ",                                5.12%                            ,                                CHINA INTERNATIONAL TRAVEL SERVICE CORPORATION LIMITED (A #601888)                            ,                                91888                            
626,"                                417,993                            ",                                0.04%                            ,"                                ASIAN STAR ANCHOR CHAIN CO.,LTD.JIANGSU (A #601890)                            ",                                91890                            
627,"                                7,124,857                            ",                                0.07%                            ,                                CHINA COAL ENERGY COMPANY LIMITED (A #601898)                            ,                                91898                            
628,"                                103,775,928                            ",                                0.65%                            ,                                ZIJIN MINING GROUP COMPANY LIMITED (A #601899)                            ,                                91899                            
629,"                                1,250,598,706                            ",                                19.88%                            ,"                                FOUNDER SECURITIES CO., LTD. (A #601901)                            ",                                91901                            
630,"                                2,106,517                            ",                                0.10%                            ,"                                BEIJING JINGYUNTONG TECHNOLOGY CO.,LTD. (A #601908)                            ",                                91908                            
631,"                                2,191,827                            ",                                0.08%                            ,"                                CHINA COAL XINJI ENERGY CO., LTD (A #601918)                            ",                                91918                            
632,"                                16,329,257                            ",                                0.21%                            ,"                                COSCO SHIPPING HOLDINGS CO., LTD. (A #601919)                            ",                                91919                            
633,"                                5,149,082                            ",                                0.20%                            ,                                JIANGSU PHOENIX PUBLISHING&MEDIA; CORPORATION LIMITED (A #601928)                            ,                                91928                            
634,"                                1,451,607                            ",                                0.04%                            ,"                                JISHI MEDIA CO., LTD. (A #601929)                            ",                                91929                            
635,"                                59,470,216                            ",                                0.91%                            ,"                                YONGHUI SUPERSTORES CO., LTD. (A #601933)                            ",                                91933                            
636,"                                313,215,740                            ",                                3.26%                            ,                                CHINA CONSTRUCTION BANK CORPORATION (A #601939)                            ,                                91939                            
637,"                                3,669,921                            ",                                0.11%                            ,"                                JINDUICHENG MOLYBDENUM CO.,LTD (A #601958)                            ",                                91958                            
638,"                                29,940                            ",                                0.00%                            ,"                                CHINA AUTOMOTIVE ENGINEERING RESEARCH INSTITUE CO.,LTD (A #601965)                            ",                                91965                            
639,"                                364,157                            ",                                0.09%                            ,"                                SHANDONG LINGLONG TYRE CO., LTD. (A #601966)                            ",                                91966                            
640,"                                89,436                            ",                                0.02%                            ,"                                SHANGHAI BAOSTEEL PACKAGING CO.,LTD. (A #601968)                            ",                                91968                            
641,"                                580,368                            ",                                0.06%                            ,"                                HAINAN MINING CO.,LTD (A #601969)                            ",                                91969                            
642,"                                28,221,256                            ",                                0.66%                            ,"                                CHINA NATIONAL NUCLEAR POWER CO., LTD. (A #601985)                            ",                                91985                            
643,"                                483,094,583                            ",                                0.22%                            ,                                BANK OF CHINA LIMITED (A #601988)                            ,                                91988                            
644,"                                84,575,523                            ",                                0.46%                            ,                                CHINA SHIPBUILDING INDUSTRY COMPANY LIMITED (A #601989)                            ,                                91989                            
645,"                                6,402,619                            ",                                0.06%                            ,"                                DATANG INTERNATIONAL POWER GENERATION CO.,LTD. (A #601991)                            ",                                91991                            
646,"                                12,115,504                            ",                                0.14%                            ,                                BBMG CORPORATION (A #601992)                            ,                                91992                            
647,"                                6,959,656                            ",                                0.74%                            ,"                                GUANGXI FENGLIN WOOD LNDUSTRY GROUP CO.,LTD. (A #601996)                            ",                                91996                            
648,"                                398,526                            ",                                0.07%                            ,                                BANK OF GUIYANG CO.LTD. (A #601997)                            ,                                91997                            
649,"                                34,723,164                            ",                                0.10%                            ,                                CHINA CITIC BANK CORPORATION LIMITED (A #601998)                            ,                                91998                            
650,"                                2,513,058                            ",                                0.22%                            ,"                                PEOPLE.CN CO.,LTD (A #603000)                            ",                                93000                            
651,                                34                            ,                                0.00%                            ,"                                ZHEJIANG AOKANG SHOES CO., LTD. (A #603001)                            ",                                93001                            
652,"                                166,201                            ",                                0.09%                            ,"                                CHINA WAFER LEVEL CSP CO., LTD (A #603005)                            ",                                93005                            
653,"                                140,550                            ",                                0.04%                            ,"                                XILINMEN FURNITURE CO.,LTD. (A #603008)                            ",                                93008                            
654,                                600                            ,                                0.00%                            ,"                                SHANGHAI BEITE TECHNOLOGY CO.,LTD. (A #603009)                            ",                                93009                            
655,"                                1,118,219                            ",                                0.27%                            ,"                                DAWNING INFORMATION INDUSTRY CO., LTD. (A #603019)                            ",                                93019                            
656,"                                71,553                            ",                                0.14%                            ,                                BEIJING DAHAO TECHNOLOGY CORPORATION LIMITED (A #603025)                            ,                                93025                            
657,"                                1,300                            ",                                0.00%                            ,"                                CHINA BUILDING MATERIAL TEST & CERTIFICATION GROUP CO., LTD (A #603060)                            ",                                93060                            
658,"                                142,035,346                            ",                                1.94%                            ,"                                SICHUAN HEBANG BIOTECHNOLOGY CO., LTD. (A#603077)                            ",                                93077                            
659,"                                2,893                            ",                                0.00%                            ,                                CENTER INTERNATIONAL GROUP COMPANY LIMITED (A #603098)                            ,                                93098                            
660,"                                391,519                            ",                                0.17%                            ,"                                SHANGHAI RUNDA MEDICAL TECHNOLOGY CO.,LTD (A #603108)                            ",                                93108                            
661,"                                688,917                            ",                                0.17%                            ,"                                NANJING KANGNI MECHANICAL & ELECTRICAL CO., LTD. (A #603111)                            ",                                93111                            
662,"                                96,766                            ",                                0.05%                            ,"                                ZHEJIANG RED DRAGONFLY FOOTWEAR CO., LTD. (A #603116)                            ",                                93116                            
663,"                                754,469                            ",                                0.20%                            ,"                                SHENZHEN GONGJIN ELECTRONICS CO.,LTD. (A #603118)                            ",                                93118                            
664,"                                728,219                            ",                                0.33%                            ,                                SINOMA ENERGY CONSERVATION LTD. (A #603126)                            ,                                93126                            
665,"                                1,478,823                            ",                                0.17%                            ,                                CTS INTERNATIONAL LOGISTICS CORPORATION LIMITED (A #603128)                            ,                                93128                            
666,"                                121,950                            ",                                0.27%                            ,"                                SHENZHEN HUIDING TECHNOLOGY CO.,LTD. (A #603160)                            ",                                93160                            
667,"                                5,900                            ",                                0.01%                            ,"                                ZHEJIANG RONGSHENG ENVIRONMENTAL PROTECTION PAPER CO.,LTD (A #603165)                            ",                                93165                            
668,"                                77,397                            ",                                0.01%                            ,"                                BOHAI FERRY CO.,LTD. (A #603167)                            ",                                93167                            
669,"                                311,494                            ",                                0.13%                            ,"                                ZHEJIANG SHAPUAISI PHARMACEUTICAL CO., LTD. (A #603168)                            ",                                93168                            
670,"                                631,523                            ",                                0.13%                            ,"                                LANZHOU LS HEAVY EQUIPMENT CO .,LTD. (A #603169)                            ",                                93169                            
671,"                                725,691                            ",                                0.19%                            ,"                                JIANGSU YABANG DYESTUFF CO.,LTD. (A #603188)                            ",                                93188                            
672,"                                72,164                            ",                                0.04%                            ,"                                ANHUI YINGJIA DISTILLERY CO.,LTD. (A #603198)                            ",                                93198                            
673,"                                29,965                            ",                                0.06%                            ,"                                SHENZHEN KINWONG ELECTRONIC CO.,LTD. (A #603228)                            ",                                93228                            
674,"                                3,149                            ",                                0.00%                            ,"                                ZHEJIANG XIANTONG RUBBER & PLASTIC CO.,LTD (A #603239)                            ",                                93239                            
675,"                                1,700                            ",                                0.00%                            ,"                                HANGZHOU ELECTRONIC SOUL NETWORK TECHNOLOGY CO.,LTD (A #603258)                            ",                                93258                            
676,"                                89,894,528                            ",                                3.33%                            ,                                FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY LTD. (A #603288)                            ,                                93288                            
677,"                                3,700                            ",                                0.00%                            ,"                                HANGCHA GROUP.,LTD. (A #603298)                            ",                                93298                            
678,"                                249,221                            ",                                0.33%                            ,"                                HMT (XIAMEN) NEW TECHNICAL MATERIALS CO.,LTD. (A #603306)                            ",                                93306                            
679,"                                609,222                            ",                                0.15%                            ,"                                ANHUI YINGLIU ELECTROMECHANICAL CO.,LTD (A #603308)                            ",                                93308                            
680,"                                2,601,643                            ",                                0.26%                            ,"                                GUANGDONG ELLINGTON ELECTRONICS TECHNOLOGY CO., LTD. (A #603328)                            ",                                93328                            
681,"                                713,164                            ",                                1.54%                            ,"                                ZHEJIANG DINGLI MACHINERY CO.,LTD (A #603338)                            ",                                93338                            
682,"                                90,888                            ",                                0.16%                            ,"                                NANTONG SQUARE COLD CHAIN EQUIPMENT CO.,LTD. (A #603339)                            ",                                93339                            
683,"                                1,479,670                            ",                                2.21%                            ,"                                KINGCLEAN ELECTRIC CO.,LTD (A #603355)                            ",                                93355                            
684,"                                4,100                            ",                                0.01%                            ,"                                HUADA AUTOMOTIVE TECHNOLOGY CO.,LTD. (A #603358)                            ",                                93358                            
685,"                                20,000                            ",                                0.00%                            ,"                                JIANGSU SUNRAIN SOLAR ENERGY CO.,LTD (A #603366)                            ",                                93366                            
686,"                                833,316                            ",                                1.11%                            ,"                                GUANGXI LIUZHOU PHARMACEUTICAL CO.,LTD. (A #603368)                            ",                                93368                            
687,"                                1,263,259                            ",                                0.10%                            ,"                                JIANGSU KING'S LUCK BREWERY JOINT - STOCK CO., LTD (A #603369)                            ",                                93369                            
688,"                                22,700                            ",                                0.00%                            ,"                                JINZHOU NEW CHINA DRAGON MOLYBDENUM CO.,LTD (A #603399)                            ",                                93399                            
689,"                                10,000                            ",                                0.05%                            ,"                                G-BITS NETWORK TECHNOLOGY(XIAMEN)CO., LTD (A #603444)                            ",                                93444                            
690,"                                139,668                            ",                                0.21%                            ,"                                HENAN THINKER AUTOMATIC EQUIPMENT CO.,LTD (A #603508)                            ",                                93508                            
691,"                                370,700                            ",                                0.63%                            ,"                                OPPLE LIGHTING CO.,LTD. (A #603515)                            ",                                93515                            
692,"                                20,573                            ",                                0.01%                            ,                                NANJING DORON TECHNOLOGY CORPORATION LTD. (A #603528)                            ,                                93528                            
693,"                                1,033,982                            ",                                0.16%                            ,"                                GUIRENNIAO CO., LTD. (A #603555)                            ",                                93555                            
694,"                                1,000                            ",                                0.00%                            ,"                                HEXING ELECTRICAL CO.,LTD (A #603556)                            ",                                93556                            
695,"                                154,764                            ",                                0.05%                            ,"                                HEILONGJIANG ZBD PHARMACEUTICAL CO., LTD. (A #603567)                            ",                                93567                            
696,"                                165,217                            ",                                0.12%                            ,"                                ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO.,LTD. (A #603568)                            ",                                93568                            
697,"                                11,600                            ",                                0.02%                            ,                                BEIJING CHANGJIU LOGISTICS CORP. (A #603569)                            ,                                93569                            
698,                                990                            ,                                0.00%                            ,"                                SULI CO.,LTD. (A #603585)                            ",                                93585                            
699,"                                239,905                            ",                                0.04%                            ,"                                BEIJING GEOENVIRON ENGINEERING & TECHNOLOGY, INC. (A #603588)                            ",                                93588                            
700,"                                22,477,228                            ",                                7.65%                            ,"                                ANHUI KOUZI DISTILLERY CO., LTD. (A #603589)                            ",                                93589                            
701,"                                266,971                            ",                                0.19%                            ,"                                ANHUI GUANGXIN AGROCHEMICAL CO., LTD. (A #603599)                            ",                                93599                            
702,"                                143,114                            ",                                0.13%                            ,"                                UE FURNITURE CO., LTD. (A #603600)                            ",                                93600                            
703,"                                1,446,526                            ",                                0.34%                            ,"                                WELLHOPE AGRI-TECH JOINT STOCK CO., LTD. (A #603609)                            ",                                93609                            
704,                                86                            ,                                0.00%                            ,                                BEIJING HANJIAN HESHAN PIPELINE CO.LTD (A #603616)                            ,                                93616                            
705,"                                86,429                            ",                                0.03%                            ,"                                HANGZHOU CABLE CO., LTD. (A #603618)                            ",                                93618                            
706,"                                18,300                            ",                                0.02%                            ,"                                CLENERGY (XIAMEN)TECHNOLOGY PTY., LTD (A #603628)                            ",                                93628                            
707,"                                5,922                            ",                                0.01%                            ,"                                HAILIR PESTICIDES AND CHEMICALS GROUP CO.,LTD. (A #603639)                            ",                                93639                            
708,"                                13,000                            ",                                0.03%                            ,"                                AUTOBIO DIAGNOSTICS CO., LTD. (A #603658)                            ",                                93658                            
709,"                                158,870                            ",                                0.18%                            ,"                                LIONCO PHARMACEUTICAL GROUP CO.,LTD. (A #603669)                            ",                                93669                            
710,"                                171,095                            ",                                0.16%                            ,"                                FUJIAN LONGMA ENVIRONMENTAL SANITATION EQUIPMENT CO., LTD. (A #603686)                            ",                                93686                            
711,"                                431,394                            ",                                0.48%                            ,"                                CHANGZHENG ENGINEERING CO.,LTD (A #603698)                            ",                                93698                            
712,"                                1,483,031                            ",                                0.19%                            ,"                                NEWAY VALVE (SUZHOU) CO., LTD. (A #603699)                            ",                                93699                            
713,"                                1,000                            ",                                0.00%                            ,                                BOMESC OFFSHORE ENGINEERING COMPANY LIMITED (A #603727)                            ,                                93727                            
714,"                                7,567                            ",                                0.02%                            ,"                                SKSHU PAINT CO., LTD (A #603737)                            ",                                93737                            
715,"                                4,810,563                            ",                                0.23%                            ,"                                LONCIN MOTOR CO.,LTD. (A #603766)                            ",                                93766                            
716,"                                13,200                            ",                                0.02%                            ,"                                SHANGHAI LAIYIFEN CO., LTD. (A #603777)                            ",                                93777                            
717,"                                53,586                            ",                                0.06%                            ,                                QINGDAO COPTON TECHNOLOGY COMPANY LIMITED (A #603798)                            ,                                93798                            
718,"                                30,090                            ",                                0.03%                            ,"                                HANGZHOU FIRST PV MATERIAL CO., LTD. (A #603806)                            ",                                93806                            
719,"                                120,896                            ",                                0.14%                            ,"                                JASON FURNITURE (HANGZHOU) CO.,LTD. (A #603816)                            ",                                93816                            
720,"                                247,649                            ",                                0.18%                            ,"                                QUMEI HOME FURNISHINGS GROUP CO., LTD (A #603818)                            ",                                93818                            
721,"                                80,863                            ",                                0.11%                            ,"                                SHANDONG BUCHANG PHARMACEUTICALS CO., LTD (A #603858)                            ",                                93858                            
722,"                                73,860                            ",                                0.06%                            ,"                                GUANGZHOU BAIYUN ELECTRIC EQUIPMENT CO.,LTD. (A #603861)                            ",                                93861                            
723,"                                35,286                            ",                                0.05%                            ,"                                TOLY BREAD CO., LTD. (A #603866)                            ",                                93866                            
724,"                                902,697                            ",                                2.07%                            ,"                                SHANGHAI FLYCO ELECTRICAL APPLIANCE CO., LTD (A #603868)                            ",                                93868                            
725,"                                2,000                            ",                                0.00%                            ,"                                NINGBO PEACEBIRD FASHION CO., LTD. (A #603877)                            ",                                93877                            
726,"                                324,896                            ",                                0.38%                            ,                                LAOBAIXING PHARMACY CHAIN JOINT STOCK COMPANY (A #603883)                            ,                                93883                            
727,"                                1,651,906                            ",                                0.30%                            ,"                                JUNEYAO AIRLINES CO., LTD (A #603885)                            ",                                93885                            
728,"                                12,600                            ",                                0.00%                            ,"                                XINHUANETCO.,LTD. (A #603888)                            ",                                93888                            
729,"                                1,814,673                            ",                                2.03%                            ,"                                GUANGZHOU HOLIKE CREATIVE HOME CO.,LTD. (A #603898)                            ",                                93898                            
